Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Value,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Oregon,Oregon,2,17,Oct 14 - Oct 26,29.5,26.7,32.6,26.7 - 32.6,27.1-30.4,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,2,17,Oct 14 - Oct 26,26.2,22.3,30.4,22.3 - 30.4,24.9-27.0,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Rhode Island,Rhode Island,2,17,Oct 14 - Oct 26,30,24.9,35.5,24.9 - 35.5,27.1-30.4,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,South Carolina,South Carolina,2,17,Oct 14 - Oct 26,21.2,18.1,24.5,18.1 - 24.5,13.3-22.3,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,South Dakota,South Dakota,2,17,Oct 14 - Oct 26,20.9,17.3,24.9,17.3 - 24.9,13.3-22.3,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Tennessee,Tennessee,2,17,Oct 14 - Oct 26,26.6,22.9,30.6,22.9 - 30.6,24.9-27.0,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Texas,Texas,2,17,Oct 14 - Oct 26,21.2,18.6,24,18.6 - 24.0,13.3-22.3,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Utah,Utah,2,17,Oct 14 - Oct 26,26.2,23.3,29.2,23.3 - 29.2,24.9-27.0,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Vermont,Vermont,2,17,Oct 14 - Oct 26,22.4,18.8,26.3,18.8 - 26.3,22.4-24.8,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Virginia,Virginia,2,17,Oct 14 - Oct 26,22.1,19.7,24.8,19.7 - 24.8,13.3-22.3,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Washington,Washington,2,17,Oct 14 - Oct 26,26.5,23.8,29.3,23.8 - 29.3,24.9-27.0,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,West Virginia,West Virginia,2,17,Oct 14 - Oct 26,27.4,22.1,33.2,22.1 - 33.2,27.1-30.4,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Wisconsin,Wisconsin,2,17,Oct 14 - Oct 26,26.2,22.7,30,22.7 - 30.0,24.9-27.0,
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Wyoming,Wyoming,2,17,Oct 14 - Oct 26,21.3,17.8,25.1,17.8 - 25.1,13.3-22.3,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",National Estimate,United States,United States,2,17,Oct 14 - Oct 26,10.6,10.1,11,10.1 - 11.0,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,18 - 29 years,2,17,Oct 14 - Oct 26,18.5,16.8,20.4,16.8 - 20.4,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,30 - 39 years,2,17,Oct 14 - Oct 26,15.3,14.2,16.5,14.2 - 16.5,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,40 - 49 years,2,17,Oct 14 - Oct 26,10.9,9.9,12,9.9 - 12.0,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,50 - 59 years,2,17,Oct 14 - Oct 26,8.8,7.8,10,7.8 - 10.0,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,60 - 69 years,2,17,Oct 14 - Oct 26,5.4,4.9,6,4.9 - 6.0,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,70 - 79 years,2,17,Oct 14 - Oct 26,3,2.4,3.8,2.4 - 3.8,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,80 years and above,2,17,Oct 14 - Oct 26,5.5,2.7,9.9,2.7 - 9.9,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Gender,United States,Male,2,17,Oct 14 - Oct 26,8.3,7.6,8.9,7.6 - 8.9,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Gender,United States,Female,2,17,Oct 14 - Oct 26,12.7,12.1,13.2,12.1 - 13.2,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,2,17,Oct 14 - Oct 26,2.9,2.5,3.2,2.5 - 3.2,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,2,17,Oct 14 - Oct 26,23.3,22.4,24.3,22.4 - 24.3,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,2,17,Oct 14 - Oct 26,10.8,9.5,12.2,9.5 - 12.2,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",2,17,Oct 14 - Oct 26,10.3,9.8,10.8,9.8 - 10.8,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",2,17,Oct 14 - Oct 26,11.2,9.5,13.1,9.5 - 13.1,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2,17,Oct 14 - Oct 26,7,5.5,8.7,5.5 - 8.7,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2,17,Oct 14 - Oct 26,16.4,13.5,19.7,13.5 - 19.7,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Less than a high school diploma,2,17,Oct 14 - Oct 26,9.9,7.5,12.8,7.5 - 12.8,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,High school diploma or GED,2,17,Oct 14 - Oct 26,8.4,7.2,9.6,7.2 - 9.6,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Some college/Associate's degree,2,17,Oct 14 - Oct 26,12.9,12.2,13.6,12.2 - 13.6,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,2,17,Oct 14 - Oct 26,10.5,10,11,10.0 - 11.0,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,2,17,Oct 14 - Oct 26,7.7,5.8,9.9,5.8 - 9.9,4.9-9.3,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alaska,Alaska,2,17,Oct 14 - Oct 26,11.3,9.3,13.6,9.3 - 13.6,10.1-11.9,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Arizona,Arizona,2,17,Oct 14 - Oct 26,10.5,8.5,12.9,8.5 - 12.9,10.1-11.9,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Arkansas,Arkansas,2,17,Oct 14 - Oct 26,10.5,7.8,13.7,7.8 - 13.7,10.1-11.9,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,California,California,2,17,Oct 14 - Oct 26,12,10,14.1,10.0 - 14.1,12.0-14.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Colorado,Colorado,2,17,Oct 14 - Oct 26,14.1,12.1,16.2,12.1 - 16.2,12.0-14.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Connecticut,Connecticut,2,17,Oct 14 - Oct 26,8.7,6.4,11.5,6.4 - 11.5,4.9-9.3,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,2,17,Oct 14 - Oct 26,12.4,8.4,17.3,8.4 - 17.3,12.0-14.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,District of Columbia,District of Columbia,2,17,Oct 14 - Oct 26,13.8,9,20,9.0 - 20.0,12.0-14.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Florida,Florida,2,17,Oct 14 - Oct 26,10.2,8.4,12.4,8.4 - 12.4,10.1-11.9,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Georgia,Georgia,2,17,Oct 14 - Oct 26,12.5,10,15.5,10.0 - 15.5,12.0-14.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Hawaii,Hawaii,2,17,Oct 14 - Oct 26,7.3,5.2,9.9,5.2 - 9.9,4.9-9.3,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Idaho,Idaho,2,17,Oct 14 - Oct 26,10,8.2,12.1,8.2 - 12.1,9.4-10.0,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Illinois,Illinois,2,17,Oct 14 - Oct 26,8.7,7,10.7,7.0 - 10.7,4.9-9.3,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Indiana,Indiana,2,17,Oct 14 - Oct 26,9.9,8.4,11.7,8.4 - 11.7,9.4-10.0,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Iowa,Iowa,2,17,Oct 14 - Oct 26,9.5,7,12.6,7.0 - 12.6,9.4-10.0,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Kansas,Kansas,2,17,Oct 14 - Oct 26,9.4,7.1,12.1,7.1 - 12.1,9.4-10.0,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Kentucky,Kentucky,2,17,Oct 14 - Oct 26,9.9,7.4,13,7.4 - 13.0,9.4-10.0,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Louisiana,Louisiana,2,17,Oct 14 - Oct 26,9.7,7.1,12.9,7.1 - 12.9,9.4-10.0,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Maine,Maine,2,17,Oct 14 - Oct 26,10.3,7.7,13.3,7.7 - 13.3,10.1-11.9,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Maryland,Maryland,2,17,Oct 14 - Oct 26,9.9,7.8,12.3,7.8 - 12.3,9.4-10.0,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Massachusetts,Massachusetts,2,17,Oct 14 - Oct 26,10.8,9,12.8,9.0 - 12.8,10.1-11.9,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Michigan,Michigan,2,17,Oct 14 - Oct 26,12.8,10.2,15.9,10.2 - 15.9,12.0-14.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Minnesota,Minnesota,2,17,Oct 14 - Oct 26,8.1,6.6,9.8,6.6 - 9.8,4.9-9.3,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Mississippi,Mississippi,2,17,Oct 14 - Oct 26,13.1,10.1,16.6,10.1 - 16.6,12.0-14.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Missouri,Missouri,2,17,Oct 14 - Oct 26,12.8,10.5,15.3,10.5 - 15.3,12.0-14.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Montana,Montana,2,17,Oct 14 - Oct 26,10.3,7.9,13.1,7.9 - 13.1,10.1-11.9,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Nebraska,Nebraska,2,17,Oct 14 - Oct 26,9.3,7.5,11.4,7.5 - 11.4,4.9-9.3,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Nevada,Nevada,2,17,Oct 14 - Oct 26,12.9,9.9,16.5,9.9 - 16.5,12.0-14.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New Hampshire,New Hampshire,2,17,Oct 14 - Oct 26,7.8,5.8,10.2,5.8 - 10.2,4.9-9.3,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New Jersey,New Jersey,2,17,Oct 14 - Oct 26,9,6.9,11.4,6.9 - 11.4,4.9-9.3,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New Mexico,New Mexico,2,17,Oct 14 - Oct 26,11.8,8.8,15.4,8.8 - 15.4,10.1-11.9,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New York,New York,2,17,Oct 14 - Oct 26,9.3,7.5,11.4,7.5 - 11.4,4.9-9.3,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,North Carolina,North Carolina,2,17,Oct 14 - Oct 26,11,7.8,15.1,7.8 - 15.1,10.1-11.9,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,North Dakota,North Dakota,2,17,Oct 14 - Oct 26,5.7,3.5,8.6,3.5 - 8.6,4.9-9.3,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Ohio,Ohio,2,17,Oct 14 - Oct 26,11.9,8.9,15.5,8.9 - 15.5,10.1-11.9,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Oklahoma,Oklahoma,2,17,Oct 14 - Oct 26,12.1,9.9,14.6,9.9 - 14.6,12.0-14.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Oregon,Oregon,2,17,Oct 14 - Oct 26,12.8,10.5,15.4,10.5 - 15.4,12.0-14.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,2,17,Oct 14 - Oct 26,9.3,6.7,12.6,6.7 - 12.6,4.9-9.3,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Rhode Island,Rhode Island,2,17,Oct 14 - Oct 26,12.2,8.7,16.5,8.7 - 16.5,12.0-14.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,South Carolina,South Carolina,2,17,Oct 14 - Oct 26,8.8,6.1,12.1,6.1 - 12.1,4.9-9.3,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,South Dakota,South Dakota,2,17,Oct 14 - Oct 26,4.9,3.2,7.1,3.2 - 7.1,4.9-9.3,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Tennessee,Tennessee,2,17,Oct 14 - Oct 26,9.9,8.1,12,8.1 - 12.0,9.4-10.0,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Texas,Texas,2,17,Oct 14 - Oct 26,9.9,8.2,12,8.2 - 12.0,9.4-10.0,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Utah,Utah,2,17,Oct 14 - Oct 26,10.3,8.9,11.9,8.9 - 11.9,10.1-11.9,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Vermont,Vermont,2,17,Oct 14 - Oct 26,9.7,7.2,12.8,7.2 - 12.8,9.4-10.0,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Virginia,Virginia,2,17,Oct 14 - Oct 26,10,8,12.3,8.0 - 12.3,9.4-10.0,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Washington,Washington,2,17,Oct 14 - Oct 26,11,9.3,12.9,9.3 - 12.9,10.1-11.9,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,West Virginia,West Virginia,2,17,Oct 14 - Oct 26,8.1,5.6,11.4,5.6 - 11.4,4.9-9.3,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Wisconsin,Wisconsin,2,17,Oct 14 - Oct 26,10.6,8.6,12.8,8.6 - 12.8,10.1-11.9,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Wyoming,Wyoming,2,17,Oct 14 - Oct 26,9.1,6.8,11.9,6.8 - 11.9,4.9-9.3,
"Took Prescription Medication for Mental Health, Last 4 Weeks",National Estimate,United States,United States,3,18,Oct 28 - Nov 9,20.8,20.2,21.5,20.2 - 21.5,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,18 - 29 years,3,18,Oct 28 - Nov 9,21,18.5,23.7,18.5 - 23.7,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,30 - 39 years,3,18,Oct 28 - Nov 9,22.3,20.8,23.9,20.8 - 23.9,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,40 - 49 years,3,18,Oct 28 - Nov 9,20.3,19.3,21.4,19.3 - 21.4,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,50 - 59 years,3,18,Oct 28 - Nov 9,21.4,20.2,22.7,20.2 - 22.7,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,60 - 69 years,3,18,Oct 28 - Nov 9,21.5,20,23.1,20.0 - 23.1,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,70 - 79 years,3,18,Oct 28 - Nov 9,18.4,16.6,20.3,16.6 - 20.3,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,80 years and above,3,18,Oct 28 - Nov 9,13.6,9.8,18.1,9.8 - 18.1,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Gender,United States,Male,3,18,Oct 28 - Nov 9,15.2,14.3,16.2,14.3 - 16.2,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Gender,United States,Female,3,18,Oct 28 - Nov 9,25.9,24.9,26.9,24.9 - 26.9,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,3,18,Oct 28 - Nov 9,11.8,11.1,12.5,11.1 - 12.5,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,3,18,Oct 28 - Nov 9,33.7,32.4,35.2,32.4 - 35.2,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,3,18,Oct 28 - Nov 9,16.9,14.7,19.2,14.7 - 19.2,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",3,18,Oct 28 - Nov 9,23.4,22.6,24.2,22.6 - 24.2,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",3,18,Oct 28 - Nov 9,14.2,12.4,16.2,12.4 - 16.2,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3,18,Oct 28 - Nov 9,9.7,7.7,12.1,7.7 - 12.1,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3,18,Oct 28 - Nov 9,24.2,20.9,27.7,20.9 - 27.7,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Less than a high school diploma,3,18,Oct 28 - Nov 9,15.8,12.7,19.3,12.7 - 19.3,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,High school diploma or GED,3,18,Oct 28 - Nov 9,20.1,18.3,21.9,18.3 - 21.9,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Some college/Associate's degree,3,18,Oct 28 - Nov 9,23.2,22.1,24.3,22.1 - 24.3,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,3,18,Oct 28 - Nov 9,20.3,19.7,21,19.7 - 21.0,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alabama,Alabama,3,18,Oct 28 - Nov 9,25.2,20.6,30.4,20.6 - 30.4,23.9-27.6,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,3,18,Oct 28 - Nov 9,18.3,15.3,21.6,15.3 - 21.6,13.7-19.7,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arizona,Arizona,3,18,Oct 28 - Nov 9,19.6,16,23.6,16.0 - 23.6,13.7-19.7,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arkansas,Arkansas,3,18,Oct 28 - Nov 9,23.6,19.7,28,19.7 - 28.0,21.8-23.8,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,3,18,Oct 28 - Nov 9,18.3,15.2,21.8,15.2 - 21.8,13.7-19.7,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,3,18,Oct 28 - Nov 9,22.6,19.4,26,19.4 - 26.0,21.8-23.8,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,3,18,Oct 28 - Nov 9,23.8,18.9,29.1,18.9 - 29.1,21.8-23.8,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Delaware,Delaware,3,18,Oct 28 - Nov 9,22.7,17.5,28.5,17.5 - 28.5,21.8-23.8,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,3,18,Oct 28 - Nov 9,19.7,13.5,27.2,13.5 - 27.2,13.7-19.7,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Florida,Florida,3,18,Oct 28 - Nov 9,19.6,16.5,22.9,16.5 - 22.9,13.7-19.7,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,3,18,Oct 28 - Nov 9,20.6,16.8,24.8,16.8 - 24.8,19.8-21.7,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Hawaii,Hawaii,3,18,Oct 28 - Nov 9,14.2,10.2,18.9,10.2 - 18.9,13.7-19.7,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Idaho,Idaho,3,18,Oct 28 - Nov 9,21.4,17.9,25.2,17.9 - 25.2,19.8-21.7,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Illinois,Illinois,3,18,Oct 28 - Nov 9,21.9,17.8,26.3,17.8 - 26.3,21.8-23.8,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,3,18,Oct 28 - Nov 9,23.9,20,28.1,20.0 - 28.1,23.9-27.6,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Iowa,Iowa,3,18,Oct 28 - Nov 9,25.6,21.6,29.9,21.6 - 29.9,23.9-27.6,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,3,18,Oct 28 - Nov 9,23.7,20.2,27.5,20.2 - 27.5,21.8-23.8,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,3,18,Oct 28 - Nov 9,25,19.9,30.7,19.9 - 30.7,23.9-27.6,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,3,18,Oct 28 - Nov 9,25.3,20.2,30.9,20.2 - 30.9,23.9-27.6,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maine,Maine,3,18,Oct 28 - Nov 9,21.7,16.9,27.2,16.9 - 27.2,19.8-21.7,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maryland,Maryland,3,18,Oct 28 - Nov 9,20,16.9,23.3,16.9 - 23.3,19.8-21.7,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Massachusetts,Massachusetts,3,18,Oct 28 - Nov 9,22.1,18.3,26.3,18.3 - 26.3,21.8-23.8,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Michigan,Michigan,3,18,Oct 28 - Nov 9,22.7,18,28,18.0 - 28.0,21.8-23.8,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Minnesota,Minnesota,3,18,Oct 28 - Nov 9,21.5,18.9,24.2,18.9 - 24.2,19.8-21.7,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,3,18,Oct 28 - Nov 9,20.1,13.5,28,13.5 - 28.0,19.8-21.7,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,3,18,Oct 28 - Nov 9,21,18.2,24.2,18.2 - 24.2,19.8-21.7,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Montana,Montana,3,18,Oct 28 - Nov 9,18.8,14.3,24,14.3 - 24.0,13.7-19.7,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nebraska,Nebraska,3,18,Oct 28 - Nov 9,23.8,18.7,29.5,18.7 - 29.5,21.8-23.8,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,3,18,Oct 28 - Nov 9,19.9,15.8,24.5,15.8 - 24.5,19.8-21.7,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,3,18,Oct 28 - Nov 9,20.9,17.1,25.1,17.1 - 25.1,19.8-21.7,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,3,18,Oct 28 - Nov 9,17.5,13.7,21.8,13.7 - 21.8,13.7-19.7,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,3,18,Oct 28 - Nov 9,24.9,19.2,31.4,19.2 - 31.4,23.9-27.6,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,3,18,Oct 28 - Nov 9,13.7,11,16.7,11.0 - 16.7,13.7-19.7,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Carolina,North Carolina,3,18,Oct 28 - Nov 9,20.4,16.6,24.7,16.6 - 24.7,19.8-21.7,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Dakota,North Dakota,3,18,Oct 28 - Nov 9,21.3,17.5,25.4,17.5 - 25.4,19.8-21.7,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Ohio,Ohio,3,18,Oct 28 - Nov 9,22.5,18.2,27.3,18.2 - 27.3,21.8-23.8,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,3,18,Oct 28 - Nov 9,23.9,19.1,29.2,19.1 - 29.2,23.9-27.6,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oregon,Oregon,3,18,Oct 28 - Nov 9,22.2,19.3,25.3,19.3 - 25.3,21.8-23.8,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3,18,Oct 28 - Nov 9,26.4,23.1,30,23.1 - 30.0,23.9-27.6,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,3,18,Oct 28 - Nov 9,24.2,20,28.7,20.0 - 28.7,23.9-27.6,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,3,18,Oct 28 - Nov 9,23.3,17.9,29.4,17.9 - 29.4,21.8-23.8,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,3,18,Oct 28 - Nov 9,19.1,15,23.8,15.0 - 23.8,13.7-19.7,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,3,18,Oct 28 - Nov 9,21.6,18.4,25.2,18.4 - 25.2,19.8-21.7,
